paperCount,citationCount,mutual_edge,ego_edge,hub,authority,average_degress,density,shortest_path,transitivity,num_community,node,neighbour_paper_mean,neighbour_citation_mean,neighbour_gender_ratio,gender,2015Ranking,ElectionYear,new_Id,subject
0.074771109,0.02797915,0.291130884,0.20987013,1,1,0.026364151,0.040772957,0.591402913,0.34352505,0.19047619,0.000274279,0.386131649,0.175931707,0.438040712,0,11,1988,2165125933,14
0.138351984,0.06321251,0.44222583,0.483312883,1,1,0.043765051,0.010048686,0.61166882,0.280294477,0.428571429,0.002175391,0.483378675,0.230053758,0.415410159,0,1,1988,2597370903,14
0.05826657,0.026274148,0.30682564,0.313157895,1,0.995792875,0.017131116,0.034694244,0.624948817,0.310798216,0.333333333,0.000522994,0.256637739,0.17435163,0.275043566,0,38,1988,2569058226,53
0.164801628,0.078821372,0.605660878,0.350289017,1,0.978419221,0.052381594,0.023099291,0.642622106,0.566957322,0.428571429,0.001400026,0.655152274,0.278240994,0.542801378,0,13,1988,1952846612,14
0.11241734,0.218837145,0.240987347,0.135087719,1,0.928925097,0.018090779,0.053111017,0.745741865,0.174385648,0.583333333,0.001154829,1,0.551550544,0.275033203,0,20,1988,312824572,52
1,1,0.184016514,0.161425577,1,0.997893584,0.192470178,0.001931074,0.893000808,0.072305249,0.916666667,0.041141928,0.30801389,0.193087463,0.290193419,0,14,1988,2585687038,54
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,2,1989,2950083038,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,12,1989,133830714,54
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,97,1989,2000949300,53
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1989,2590625073,13
0.07053637,0.007507527,0.15564721,0,0.834545456,0.91043771,0.007570818,0.188819539,0.274464531,0.154454344,0.166666667,0.000149624,0.155092906,0.078169953,0.359778693,1,91,1989,2131432224,52
0.050054407,0.067412091,0.3582348,0.290885131,1,0.992338621,0.014664698,0.057169224,0.364664617,0.272492112,0.35,0.000630635,0.080973334,0.125281533,0.13496061,0,7,1989,2515623062,13
0.080874873,0.019354216,0.342119909,0.494693878,1,0.854094674,0.019915238,0.060473536,0.460827342,0.245808468,0.142857143,0.000133372,0.617583731,0.357601974,0.324474602,0,82,1989,2021954109,14
0.326965467,0.030030107,0.305207911,0.115615616,0.993460296,0.919022238,0.047756345,0.048129981,0.54296071,0.224605512,0.583333333,0.003785498,0.411298356,0.367873192,0.323630795,0,18,1989,2129064463,52
0.520854527,0.293522853,0.389861412,0.166027397,1,0.928133775,0.025733043,0.006208345,0.634164762,0.129386731,0.428571429,0.001560524,0.518335183,0.244333003,0.440040898,0,1,1989,1983495295,14
0.069345942,0.254573144,0.26118068,0.147679325,0.990161002,0.945054945,0.243344559,0.020406476,0.658538025,0.122908444,0.5,0.01356434,0.295660471,0.181003672,0.256272401,0,7,1989,2111466348,54
0.603255341,0.328476278,0.361840647,0.213367965,1,0.999854098,0.058293605,0.004613325,0.690109846,0.3006058,0.571428571,0.007019722,0.396034447,0.190690065,0.588333069,0,6,1989,76570279,14
0.167125172,0.049329564,0.062440958,0.030129125,1,0.854886772,0.006326003,0.008464593,0.705234378,0.059001369,0.857142857,0.000873783,0.356706733,0.127165542,0.455445545,0,8,1989,1976393744,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000242654,0.446561723,0.592470966,0,0,11,1990,675376021,54
0.155645982,0.084748299,0.487067356,0.301492537,0.995857498,0.999155412,0.059124323,0.020265772,0.522084145,0.394414925,0.476190476,0.001818979,0.6156244,0.264230078,0.329044667,0,1,1990,1455762668,14
0.777721261,0.339055939,0.736155944,0.57894081,1,0.99883786,0.16062592,0.019106055,0.550614889,0.619917293,0.428571429,0.012778818,0.319691319,0.169114578,0.294128056,0,0,1990,2439065952,14
0.325353645,0.270844364,0.237270167,0.084837082,1,0.999139959,0.009162992,0.002698118,0.553825926,0.115682077,0.45,0.002723779,0.12370763,0.102378391,0.151273885,0,6,1990,2016157943,13
0.163686382,0.041918506,0.136694507,0.026548673,1,0.727287652,0.005037466,0.060988019,0.580986238,0.197960376,0.428571429,0.000129205,0.424099989,0.118237644,0.333333333,0,8,1990,408814175,12
0.067141404,0.066861335,0.791932672,0.886829268,0.9270073,1,0.022840641,0.046455825,0.619503437,0.566231632,0.19047619,0.000206462,0.462555256,0.296849592,0.187196886,0,0,1990,2139985836,14
0.077203205,0.036316487,0.271403898,0.038636364,1,0.864298051,0.012191644,0.020848808,0.90962603,0.393735786,0.466666667,0.000463727,0.264976833,0.26106945,0.322180343,0,2,1990,2264773727,53
0.492518703,0.597306139,0.147190667,0.0166446,1,0.751819934,0.098587916,0,1,0.051751071,1,0.041889228,0.376516235,0.179146879,0.174395623,0,144,1990,2020830328,34
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,1991,2896278405,13
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.95E-06,0.36012839,0.310357637,0,0,0,1991,2115258617,13
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.00E-06,0,0.022181026,0,0,0,1991,2122591189,13
